timestamp_query,distance_query,angle_query,timestamp_gallery,distance_gallery,angle_gallery
1604045538.218533,309.0056457519531,41.29030990600586,1604045538.320889,312,42.506103515625
1604045539.218957,310.2026672363281,41.95481872558594,1604045539.258686,312,43.0169677734375
1604045540.221624,309.853271484375,41.963172912597656,1604045540.262702,312,43.00048828125
1604045541.318092,309.31951904296875,42.07054138183594,1604045541.265257,312,43.1817626953125
1604045542.318768,310.3764953613281,41.862640380859375,1604045542.28549,312,42.967529296875
1604045543.423727,310.9934387207031,41.84653854370117,1604045543.459364,313,42.9180908203125
1604045544.516917,310.74365234375,42.05009841918945,1604045544.458579,313,43.1048583984375
1604045545.613982,311.364990234375,41.90034484863281,1604045545.675368,313,42.857666015625
1604045546.619315,311.7027587890625,41.589332580566406,1604045546.687837,314,42.6104736328125
1604045547.719733,311.7093811035156,41.23416519165039,1604045547.673228,314,42.25341796875
1604045548.849667,311.92974853515625,40.82069396972656,1604045548.882983,315,41.8359375
1604045549.850431,312.003173828125,40.55305862426758,1604045549.886136,315,41.6162109375
1604045550.914577,312.0884094238281,40.480735778808594,1604045550.869912,315,41.495361328125
1604045551.914687,312.40423583984375,39.99906539916992,1604045551.868164,314,41.0009765625
1604045553.016132,312.748779296875,39.205265045166016,1604045553.089675,314,40.3033447265625
1604045554.132635,313.13006591796875,39.3661003112793,1604045554.058496,315,40.40771484375
1604045555.21955,313.32708740234375,38.82832717895508,1604045555.27875,316,39.7869873046875
1604045556.230721,313.64544677734375,38.14164733886719,1604045556.261869,315,39.1607666015625
1604045557.326745,313.39453125,37.82936096191406,1604045557.281668,317,38.946533203125
1604045558.422113,314.1856994628906,37.30656433105469,1604045558.460933,317,38.3587646484375
1604045559.516863,314.0936584472656,36.813079833984375,1604045559.461889,317,37.935791015625
1604045560.518767,314.4982604980469,36.291648864746094,1604045560.473252,317,37.3590087890625
1604045561.527704,314.53277587890625,35.668663024902344,1604045561.487875,316,36.6448974609375
1604045562.535948,314.7209777832031,35.13825607299805,1604045562.460684,318,36.199951171875
1604045563.54202,315.0799255371094,34.343406677246094,1604045563.462401,318,35.419921875
1604045564.717125,315.0301208496094,33.64024353027344,1604045564.661107,317,34.65087890625
1604045565.820572,315.4986877441406,32.864871978759766,1604045565.865777,317,33.7994384765625
1604045566.959979,315.2380065917969,31.863788604736328,1604045566.90472,317,32.9315185546875
1604045568.016045,315.7486877441406,31.23284339904785,1604045568.074909,317,32.2833251953125
1604045569.12789,316.2393798828125,30.711353302001953,1604045569.07533,319,31.7669677734375
1604045570.212129,316.23565673828125,29.929981231689453,1604045570.280963,319,31.036376953125
1604045571.218233,316.2144775390625,29.533266067504883,1604045571.290801,318,30.487060546875
1604045572.220851,316.57177734375,28.73019027709961,1604045572.263814,319,29.6575927734375
